year,commodity_type_en,commodity_type_fr,contracts_count,original_value,amendment_value,department_en,department_fr
2017,Good,Biens,11,166156.73,0,Transportation Safety Board of Canada,Bureau de la sécurité des transports du Canada
2017,Construction,Construction,0,0,0,Transportation Safety Board of Canada,Bureau de la sécurité des transports du Canada
2017,Service,Services,425,1567497.52,82549.97,Veterans Affairs Canada,Anciens Combattants Canada
2017,Good,Biens,333,1189980.81,0,Veterans Affairs Canada,Anciens Combattants Canada
2017,Construction,Construction,0,0,0,Veterans Affairs Canada,Anciens Combattants Canada
2017,Service,Services,174,620377,6530,Canadian Human Rights Commission,Commission canadienne des droits de la personne
2017,Good,Biens,68,142640,4060,Canadian Human Rights Commission,Commission canadienne des droits de la personne
2017,Construction,Construction,0,0,0,Canadian Human Rights Commission,Commission canadienne des droits de la personne
2017,Service,Services,183,366704.26,5669.7,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes
2017,Good,Biens,141,289972.34,3390.43,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes
2017,Construction,Construction,0,0,0,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes
2017,Service,Services,22,63694,0,Civilian Review and Complaints Commission for the RCMP,Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada
2017,Good,Biens,40,111694,0,Civilian Review and Complaints Commission for the RCMP,Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada
2017,Construction,Construction,0,0,0,Civilian Review and Complaints Commission for the RCMP,Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada
2017,Service,Services,14,81992,16313,Office of the Commissioner of Lobbying of Canada,Commissariat au lobbying du Canada
2017,Good,Biens,8,22424,2676,Office of the Commissioner of Lobbying of Canada,Commissariat au lobbying du Canada
2017,Construction,Construction,0,0,0,Office of the Commissioner of Lobbying of Canada,Commissariat au lobbying du Canada
2017,Service,Services,34,156231.31,0,Office of the Information Commissioner of Canada,Commissariat à l'information du Canada
2017,Good,Biens,59,102007,-1305.9,Office of the Information Commissioner of Canada,Commissariat à l'information du Canada
2017,Construction,Construction,0,0,0,Office of the Information Commissioner of Canada,Commissariat à l'information du Canada
2017,Service,Services,35,127982.59,0,Veterans Review and Appeal Board,Tribunal des anciens combattants (révision et appel)
2017,Good,Biens,18,45216.54,0,Veterans Review and Appeal Board,Tribunal des anciens combattants (révision et appel)
2017,Construction,Construction,0,0,0,Veterans Review and Appeal Board,Tribunal des anciens combattants (révision et appel)
2017,Service,Services,97,388839.08,-40425.83,Western Economic Diversification Canada,Diversification de l'économie de l'Ouest Canada
2017,Good,Biens,39,140015.8,-10565.48,Western Economic Diversification Canada,Diversification de l'économie de l'Ouest Canada
2017,Construction,Construction,0,0,0,Western Economic Diversification Canada,Diversification de l'économie de l'Ouest Canada
